,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'0:0:47.65,422,149
'0:0:47.7,403,174
'0:0:47.75,397,196
'0:0:47.8,390,209
'0:0:47.85,396,211
'0:0:47.9,397,208
'0:0:47.95,371,206
'0:0:48.0,343,201
'0:0:48.05,338,195
'0:0:48.1,341,187
'0:0:48.15,352,181
'0:0:48.2,323,165
'0:0:48.25,287,138
'0:0:48.3,293,143
'0:0:48.35,354,154
'0:0:48.4,380,149
'0:0:48.45,373,145
'0:0:48.5,352,143
'0:0:48.55,355,140
'0:0:48.6,365,136
'0:0:48.65,370,130
'0:0:48.7,356,125
'0:0:48.75,347,131
'0:0:48.8,358,140
'0:0:48.85,366,136
'0:0:48.9,362,141
'0:0:48.95,365,171
'0:0:49.0,370,187
'0:0:49.05,371,189
'0:0:49.1,368,192
'0:0:49.15,357,195
'0:0:49.2,348,204
'0:0:49.25,348,215
'0:0:49.3,366,219
'0:0:49.35,384,215
'0:0:49.4,379,218
'0:0:49.45,348,213
'0:0:49.5,308,185
'0:0:49.55,308,176
'0:0:49.6,322,182
'0:0:49.65,332,175
'0:0:49.7,341,166
'0:0:49.75,351,156
'0:0:49.8,377,149
'0:0:49.85,377,147
'0:0:49.9,357,143
'0:0:49.95,350,139
'0:0:50.0,371,143
'0:0:50.05,412,155
'0:0:50.1,392,152
'0:0:50.15,371,146
'0:0:50.2,382,170
'0:0:50.25,404,191
'0:0:50.3,434,197
'0:0:50.35,419,207
'0:0:50.4,381,213
'0:0:50.45,353,220
'0:0:50.5,348,226
'0:0:50.55,349,224
'0:0:50.6,341,215
'0:0:50.65,337,210
'0:0:50.7,342,215
